epoch,train_loss,train_acc,val_loss,val_acc
1,0.54572084983016,0.8072210065645514,0.21726451778944236,0.9325744308231173
2,0.21367680948203188,0.9262582056892779,0.10049241207109441,0.9711033274956217
3,0.11893820225442525,0.9577680525164114,0.059895066684682814,0.9859894921190894
4,0.08624070536516427,0.9735229759299782,0.053615424658078864,0.9868651488616462
5,0.06862613288135445,0.9776805251641137,0.041150492878594874,0.9859894921190894
6,0.05262460147705198,0.9840262582056892,0.03811194684075912,0.9921190893169878
7,0.03866012451163528,0.9897155361050328,0.04589704237715219,0.9868651488616462
8,0.03339010200603851,0.9910284463894967,0.022065103888730217,0.9929947460595446
9,0.027772649737886058,0.9923413566739606,0.026400187387556857,0.9929947460595446
10,0.02544733755427048,0.9916849015317286,0.03115689671303157,0.9868651488616462
11,0.027264189087588105,0.9921225382932166,0.033466048708210835,0.98861646234676
12,0.021748213747137222,0.9936542669584245,0.025919429683954262,0.9912434325744308
13,0.014965169956750712,0.9964989059080963,0.03506336226773576,0.98861646234676
14,0.021135992033578275,0.9932166301969365,0.02776640507632348,0.9912434325744308
15,0.01603672313998113,0.9936542669584245,0.017351060322931953,0.9929947460595446
16,0.020208941872743177,0.9945295404814004,0.028117827901285593,0.9903677758318739
17,0.014097253159829772,0.9949671772428884,0.027960384059077595,0.9912434325744308
18,0.011433460728096709,0.9967177242888403,0.027897607319928776,0.9903677758318739
19,0.008179353545987937,0.9975929978118162,0.02378798992537784,0.9938704028021016
20,0.010185622777680294,0.9964989059080963,0.023358359437013018,0.9938704028021016
21,0.011003648843697764,0.9960612691466083,0.03255717203203407,0.9929947460595446
22,0.01084320292129493,0.9964989059080963,0.025952336040764364,0.9956217162872154
23,0.011771441262859355,0.9964989059080963,0.02748974192163523,0.989492119089317
24,0.007929898586727402,0.9971553610503282,0.054884954530178144,0.9859894921190894
25,0.015325235120577155,0.9949671772428884,0.038168831172208546,0.98861646234676
26,0.014003820883831584,0.9951859956236324,0.018484013823815478,0.9947460595446584
27,0.005876603324773275,0.9980306345733042,0.02751123268424734,0.9921190893169878
28,0.004610541065099203,0.9986870897155361,0.021419347480800648,0.9956217162872154
29,0.015130131765058839,0.9962800875273523,0.0179238274510781,0.9947460595446584
30,0.009477103219512254,0.9964989059080963,0.03251425052897482,0.9903677758318739
