epoch,train_loss,train_acc,val_loss,val_acc
1,0.4690535657254559,0.8409190371991248,0.1192136727397423,0.9614711033274956
2,0.1777809590916404,0.936980306345733,0.048878266596791516,0.9877408056042032
3,0.09501229858502779,0.9687089715536105,0.024989308074977894,0.9938704028021016
4,0.07129734665709721,0.9741794310722101,0.02438148109963239,0.9929947460595446
5,0.05885885288751393,0.9807439824945295,0.019152725953771856,0.9956217162872154
6,0.03171959541558698,0.9899343544857768,0.014521985880552665,0.9956217162872154
7,0.03481036969980213,0.9890590809628009,0.016108216629712232,0.9947460595446584
8,0.027447653289566415,0.9912472647702407,0.014556775159873178,0.9947460595446584
9,0.0339903844019125,0.9894967177242888,0.018359339487791507,0.9921190893169878
10,0.022057460201190912,0.9932166301969365,0.0243011591939709,0.9921190893169878
11,0.017142430019587342,0.9954048140043764,0.014524520382785847,0.9938704028021016
12,0.01693725408558251,0.9949671772428884,0.011964437944876543,0.9929947460595446
13,0.019548881027852114,0.9929978118161925,0.01898875567024727,0.9929947460595446
14,0.01624082697380163,0.9951859956236324,0.00913245467086159,0.999124343257443
15,0.010651952615140223,0.9973741794310722,0.01356066212765224,0.9956217162872154
16,0.016398944009576377,0.9943107221006564,0.015006510994284256,0.9947460595446584
17,0.01150659594024558,0.9956236323851203,0.013929886805405758,0.9956217162872154
18,0.010504220559769177,0.9971553610503282,0.011018085083067938,0.9973730297723292
19,0.02041932621021109,0.9947483588621444,0.02427951801063056,0.9929947460595446
20,0.01109235067602198,0.9967177242888403,0.0132150471523639,0.9938704028021016
21,0.00989597331593934,0.9962800875273523,0.03137325165354347,0.9903677758318739
22,0.011272638762386055,0.9971553610503282,0.01481734662465164,0.9938704028021016
23,0.01385834511834746,0.9951859956236324,0.019476132509799276,0.9947460595446584
24,0.010707557801344723,0.9958424507658643,0.019409223738568467,0.9947460595446584
25,0.009178035779646241,0.9971553610503282,0.026783491365755085,0.9947460595446584
26,0.01443145136823735,0.9947483588621444,0.01882690180825182,0.9912434325744308
27,0.006276523284375906,0.9984682713347921,0.019744705402287416,0.9947460595446584
28,0.009164325570172062,0.9967177242888403,0.027297871856054784,0.9903677758318739
29,0.0064737893298626985,0.9973741794310722,0.02682398183960224,0.9938704028021016
30,0.01962734197329575,0.9932166301969365,0.023510480720406138,0.9956217162872154
